question, answer
what was the outcome of napoleon's campaign in spain?,spaniards revolted and napoleon marched to the peninsula,defeated the spaniards and drove the british to the coast.
what happened after napoleon crossed the danube at aspern-essling?,napoleon suffered his first clear defeat in an attempt to cross the danube at aspern-essling and come to grips with the austrian army led by archduke charles.
what was the outcome of the treaty of schonbrunn?,napoleon occupied vienna and signed the treaty of schonbrunn.
who did napoleon marry after divorcing josephine?,the daughter of the austrian emperor.
what was the name of napoleon's son?,napoleon ii,christened the king of rome.
what caused the grand armee to disintegrate during the russian campaign?,the 'scorched earth' policy employed by the russians combined with extreme weather.
what happened after napoleon's defeat in russia?,prussia,sweden,and austria declared war on france.
what was the outcome of the battle of nations?,napoleon was decisively defeated at the great battle of nations.
what did napoleon do after abdicating in 1814?,he went into exile on the island of elba.
how did napoleon regain his throne in 1815?,he landed in france and regained his throne in a bloodless coup.
what happened at the battle of waterloo?,napoleon fought the duke of wellington leading an anglo/allied army at waterloo and was decisively defeated on 18 june 1815.
where was napoleon exiled after his defeat at waterloo?,the island of saint helena situated in the south atlantic ocean.
when and where was napoleon bonaparte born?,he was born on august 15,1769,in ajaccio,on the mediterranean island of corsica
what were napoleon bonaparte's parents' names?,carlo buonaparte and letizia romalino buonaparte
what was napoleon bonaparte's social status?,his parents were members of the minor corsican nobility,but the family was not wealthy
when did france acquire corsica?,the year before napoleon's birth,in 1768
what was napoleon bonaparte's education like?,he attended school in mainland france,where he learned the french language,and went on to graduate from a french military academy in 1785
when did the french revolution begin?,in 1789
what was napoleon bonaparte's political affiliation during the early years of the revolution?,he was affiliated with the jacobins,a pro-democracy political group
why did the bonaparte family flee corsica?,following a clash with the nationalist corsican governor,pasquale paoli,in 1793
who was augustin robespierre?,the brother of revolutionary leader maximilien robespierre
what was the reign of terror?,a period of violence against enemies of the revolution that took place from 1793 to 1794
what rank did napoleon bonaparte achieve in the army during the reign of terror?,brigadier general
what happened to napoleon bonaparte after robespierre fell from power?,he was briefly put under house arrest for his ties to the robespierre brothers
what did napoleon bonaparte do in 1795?,he helped suppress a royalist insurrection against the revolutionary government in paris and was promoted to major general
who discovered the rosetta stone?,pierre francois bouchard,a french soldier,discovered the rosetta stone in 1799 during napoleon's military campaign in egypt
what was the treaty of campo formio?,a treaty signed between france and austria in 1797 that resulted in territorial gains for the french
what did the directory offer napoleon bonaparte in 1798?,the opportunity to lead an invasion of england
why did napoleon bonaparte decide not to invade england?,he determined that france's naval forces were not yet ready to go up against the superior british royal navy
when and where was napoleon born?,napoleon bonaparte was born on august 15,1769,in ajaccio,on the mediterranean island of corsica.
who were napoleon's parents?,napoleon's parents were carlo buonaparte (1746-1785),a lawyer,and letizia romalino buonaparte (1750-1836).
what was napoleon's social status?,although his parents were members of the minor corsican nobility,the family was not wealthy.
